: Source File - D:\aRoot\mRootRhizo\tRIBSVEGGIE_files\UMBS_NetPPT_file_hourly.dat
:
: Start Date - 
: End Date - 
: Time Increment - 1hr
:
: Data - Time(seconds) Recharge (m/s)
: Time[s]	m/s
3632400	1.31469E-08
3636000	9.67E-09
3639600	7.46389E-09
3643200	5.36722E-09
3646800	3.0575E-09
3650400	2.37694E-09
3654000	1.46472E-09
3657600	1.17222E-09
3661200	3.25E-10
3664800	0
3668400	0
3672000	0
3675600	0
3679200	0
3682800	0
3686400	0
3690000	0
3693600	0
3697200	0
3700800	0
3704400	0
3708000	0
3711600	0
3715200	0
3718800	0
3722400	0
3726000	0
3729600	0
3733200	0
3736800	0
3740400	0
3744000	0
3747600	0
3751200	0
3754800	0
3758400	4.00775E-08
3762000	1.07833E-09
3765600	0
3769200	0
3772800	0
3776400	0
3780000	0
3783600	0
3787200	0
3790800	2.60631E-08
3794400	1.11064E-08
3798000	6.5775E-09
3801600	4.14361E-09
3805200	1.71861E-09
3808800	4.26667E-10
3812400	4.06944E-10
3816000	0
3819600	0
3823200	0
3826800	0
3830400	0
3834000	0
3837600	0
3841200	0
3844800	0
3848400	0
3852000	0
3855600	0
3859200	0
3862800	0
3866400	0
3870000	0
3873600	0
3877200	0
3880800	0
3884400	0
3888000	0
3891600	0
3895200	0
3898800	0
3902400	0
3906000	0
3909600	0
3913200	0
3916800	0
3920400	0
3924000	0
3927600	0
3931200	0
3934800	0
3938400	0
3942000	0
3945600	0
3949200	0
3952800	2.56697E-08
3956400	7.58433E-08
3960000	1.13538E-07
3963600	3.02795E-07
3967200	2.58468E-07
3970800	2.27731E-07
3974400	1.22912E-07
3978000	5.33542E-08
3981600	9.35531E-08
3985200	1.27267E-07
3988800	6.23044E-08
3992400	2.93372E-08
3996000	1.67431E-08
3999600	9.69694E-09
4003200	5.56694E-09
4006800	2.07361E-09
4010400	7.10278E-10
4014000	0
4017600	0
4021200	0
4024800	0
4028400	0
4032000	0
4035600	0
4039200	0
4042800	0
4046400	0
4050000	0
4053600	3.8852E-07
4057200	1.39084E-07
4060800	3.43653E-08
4064400	2.13856E-08
4068000	1.48833E-08
4071600	1.07336E-08
4075200	7.82722E-09
4078800	6.57222E-09
4082400	5.63444E-09
4086000	3.47833E-09
4089600	2.035E-09
4093200	3.15833E-10
4096800	0
4100400	0
4104000	0
4107600	0
4111200	0
4114800	0
4118400	0
4122000	6.58361E-08
4125600	2.64783E-08
4129200	1.34733E-08
4132800	8.54778E-09
4136400	7.40889E-09
4140000	8.24972E-09
4143600	7.41361E-09
4147200	4.51333E-09
4150800	3.86472E-09
4154400	6.48278E-09
4158000	1.02658E-08
4161600	1.38978E-08
4165200	1.61656E-08
4168800	1.72211E-08
4172400	1.27544E-08
4176000	6.69222E-09
4179600	2.55972E-09
4183200	1.53611E-10
4186800	0
4190400	0
4194000	0
4197600	0
4201200	0
4204800	0
4208400	0
4212000	0
4215600	0
4219200	0
4222800	0
4226400	0
4230000	0
4233600	0
4237200	0
4240800	0
4244400	0
4248000	0
4251600	0
4255200	0
4258800	0
4262400	0
4266000	0
4269600	0
4273200	0
4276800	0
4280400	0
4284000	0
4287600	0
4291200	0
4294800	0
4298400	0
4302000	0
4305600	0
4309200	0
4312800	0
4316400	0
4320000	0
4323600	0
4327200	0
4330800	0
4334400	0
4338000	0
4341600	0
4345200	0
4348800	0
4352400	0
4356000	0
4359600	0
4363200	0
4366800	0
4370400	0
4374000	0
4377600	0
4381200	0
4384800	0
4388400	0
4392000	0
4395600	0
4399200	0
4402800	0
4406400	0
4410000	1.07341E-06
4413600	3.65465E-07
4417200	8.19189E-08
4420800	2.74828E-08
4424400	1.47703E-08
4428000	6.70806E-09
4431600	1.76278E-09
4435200	0
4438800	0
4442400	0
4446000	0
4449600	0
4453200	0
4456800	0
4460400	0
4464000	0
4467600	0
4471200	0
4474800	0
4478400	0
4482000	0
4485600	0
4489200	0
4492800	0
4496400	0
4500000	0
4503600	0
4507200	0
4510800	0
4514400	0
4518000	0
4521600	0
4525200	0
4528800	0
4532400	0
4536000	0
4539600	0
4543200	0
4546800	0
4550400	0
4554000	0
4557600	0
4561200	0
4564800	0
4568400	0
4572000	0
4575600	0
4579200	0
4582800	0
4586400	0
4590000	0
4593600	0
4597200	0
4600800	0
4604400	0
4608000	0
4611600	0
4615200	0
4618800	0
4622400	0
4626000	0
4629600	0
4633200	0
4636800	0
4640400	0
4644000	0
4647600	0
4651200	0
4654800	0
4658400	0
4662000	0
4665600	0
4669200	0
4672800	0
4676400	0
4680000	0
4683600	0
4687200	2.62697E-08
4690800	1.53885E-07
4694400	8.51481E-08
4698000	2.22889E-08
4701600	4.90611E-09
4705200	7.50278E-10
4708800	0
4712400	0
4716000	0
4719600	0
4723200	0
4726800	0
4730400	0
4734000	0
4737600	0
4741200	0
4744800	0
4748400	0
4752000	0
4755600	0
4759200	0
4762800	0
4766400	0
4770000	0
4773600	0
4777200	0
4780800	0
4784400	0
4788000	0
4791600	0
4795200	0
4798800	0
4802400	0
4806000	4.16192E-08
4809600	5.36167E-09
4813200	0
4816800	0
4820400	0
4824000	0
4827600	0
4831200	0
4834800	0
4838400	0
4842000	0
4845600	0
4849200	0
4852800	0
4856400	0
4860000	0
4863600	0
4867200	4.57492E-08
4870800	1.92397E-08
4874400	8.76278E-09
4878000	1.36056E-09
4881600	0
4885200	4.84381E-07
4888800	1.35752E-06
4892400	4.07849E-07
4896000	6.90936E-08
4899600	9.64361E-09
4903200	9.43889E-10
4906800	0
4910400	0
4914000	0
4917600	0
4921200	0
4924800	0
4928400	0
4932000	0
4935600	0
4939200	0
4942800	0
4946400	0
4950000	0
4953600	0
4957200	0
4960800	0
4964400	0
4968000	0
4971600	0
4975200	0
4978800	0
4982400	0
4986000	0
4989600	0
4993200	0
4996800	0
5000400	0
5004000	0
5007600	0
5011200	0
5014800	9.70481E-08
5018400	5.85883E-08
5022000	3.09897E-08
5025600	1.96278E-08
5029200	1.29875E-08
5032800	8.33472E-09
5036400	4.85E-09
5040000	1.60111E-09
5043600	0
5047200	0
5050800	0
5054400	0
5058000	0
5061600	0
5065200	0
5068800	0
5072400	0
5076000	0
5079600	0
5083200	0
5086800	0
5090400	0
5094000	0
5097600	0
5101200	0
5104800	0
5108400	0
5112000	0
5115600	0
5119200	0
5122800	0
5126400	0
5130000	0
5133600	0
5137200	0
5140800	0
5144400	0
5148000	0
5151600	1.90225E-06
5155200	2.47556E-07
5158800	2.02528E-08
5162400	2.38889E-11
5166000	0
5169600	0
5173200	0
5176800	0
5180400	0
5184000	0
5187600	0
5191200	0
5194800	0
5198400	0
5202000	0
5205600	0
5209200	0
5212800	0
5216400	0
5220000	0
5223600	0
5227200	0
5230800	0
5234400	0
5238000	0
5241600	0
5245200	0
5248800	0
5252400	0
5256000	0
5259600	0
5263200	0
5266800	0
5270400	0
5274000	0
5277600	0
5281200	0
5284800	0
5288400	0
5292000	0
5295600	0
5299200	0
5302800	0
5306400	0
5310000	0
5313600	0
5317200	0
5320800	0
5324400	0
5328000	0
5331600	0
5335200	0
5338800	0
5342400	0
5346000	0
5349600	0
5353200	0
5356800	4.47823E-07
5360400	1.54869E-07
5364000	4.07294E-08
5367600	2.33136E-08
5371200	1.46483E-08
5374800	3.30203E-08
5378400	1.02443E-07
5382000	1.81612E-07
5385600	1.54263E-07
5389200	5.06989E-08
5392800	9.87111E-09
5396400	1.80833E-10
5400000	0
5403600	0
5407200	0
5410800	0
5414400	0
5418000	0
5421600	0
5425200	0
5428800	0
5432400	0
5436000	0
5439600	0
5443200	0
5446800	0
5450400	0
5454000	0
5457600	0
5461200	0
5464800	0
5468400	0
5472000	6.91836E-08
5475600	9.33936E-08
5479200	5.48022E-07
5482800	1.87591E-06
5486400	1.75959E-07
5490000	8.18417E-09
5493600	0
5497200	0
5500800	0
5504400	0
5508000	0
5511600	0
5515200	0
5518800	0
5522400	0
5526000	0
5529600	0
5533200	0
5536800	0
5540400	0
5544000	0
5547600	0
5551200	0
5554800	0
5558400	0
5562000	0
5565600	0
5569200	0
5572800	0
5576400	0
5580000	0
5583600	0
5587200	0
5590800	0
5594400	0
5598000	0
5601600	0
5605200	0
5608800	0
5612400	0
5616000	0
5619600	0
5623200	0
5626800	0
5630400	0
5634000	0
5637600	0
5641200	0
5644800	0
5648400	0
5652000	0
5655600	0
5659200	0
5662800	0
5666400	0
5670000	0
5673600	0
5677200	0
5680800	0
5684400	0
5688000	2.60542E-08
5691600	1.12128E-08
5695200	6.80861E-09
5698800	4.54694E-09
5702400	3.02722E-09
5706000	2.09972E-09
5709600	1.98639E-09
5713200	1.27083E-09
5716800	1.24889E-09
5720400	1.29306E-09
5724000	1.28528E-09
5727600	1.16194E-09
5731200	6.36944E-10
5734800	4.49444E-10
5738400	0
5742000	0
5745600	0
5749200	0
5752800	0
5756400	0
5760000	0
5763600	0
5767200	0
5770800	0
5774400	0
5778000	0
